Covidence #,Study ID,Title,Reviewer Name,Notes,This study has more than one reservoir,How many waterbodies are in this study?,Aim of study,This study addresses the following management concerns...,This study addresses the following management strategies...,Country where the reservoir is located,Reservoir Name,Latitude and Longitude:,Decimal Degrees Latitude,Decimal Degrees Longitude,Number of years of study,Samples were collected... ,Months samples were collected in,Physical reservoir characteristics:,Reservoir Size Max depth,Reservoir Size Mean depth,Reservoir Size Min depth,Reservoir Size Volume (m^3),Reservoir Size Surface area (km^2),Reservoir Size Surface area (ha),Water level change (m),Water level change magnitude,Trophic Status,Total Phosphorus (units),Mean chlorophyll concentration (units),Number of sites within the reservoir,One depth or multiple depths,Seasons,What physical variables were measured?,What chemical variables were measured?,What biotic variables were measured?,How was water level measured?,What was the phytoplankton response to decreases in water level or drought?,"Quantify the change in phytoplankton or chlorophyll in response to water level decreases, if reported","What was the phytoplankton response to increases in water level, refill, or flooding?","Quantify the change in phytoplankton or chlorophyll in response to water level, if reported.",What was the cyanobacterial response to decreases in water level or drought?,"Quantify the change in cyanobacteria in response to water level increases, if reported","What was the cyanobacterial response to increases in water level, refill, or flooding?","Quantify the change in cyanobacteria in response to water level increases, if reported. ",What variables were identified as significant drivers of phytoplankton community?,This paper is exemplary!
573,Dzhaiani 2020,Interannual Changes in Phytoplankton of the Iriklinsky Reservoir,Consensus,"Relatively small change in water level (2m w/ max depth of 36m), could try to calculate volume change based on inflow & outflow balances",No,1,Examine interannual changes in phytoplankton as they relate to hydrodynamics.,water level fluctuation,NA,Russia,Iriklinsky,,51.6777,58.6237,3,"Other: 3 times per year, at least three sites",May; July; October,,36,12.5,NA,3250000000,260,NA,2,,meso-eutrophic,,,6,One depth,,"water temperature; secchi/transparency; Other: inflow, water level, and discharge","Other: they mention high nutrients with high inflow, but don't present any nutrient data",phytoplankton microscopy,ground-based measurements,not significant; Other: water level response varied by season and site,,not significant; Other: water level response varied by season and site,,decrease in cyanobacterial quantity,over an order of magnitude decline in cyanobacteria with lower water levels but only in one season (July) and only in one region (Dam reach-- represented by 3+ sampling sites),increase in cyanobacterial quantity,over an order of magnitude increase from 0.8 ug/L in lower water July to 30-210 ug/L in higher water Julys-- only observed trend in one season (July) and only in one of the two regions examined (Dam reach- represented by 3+ sampling sites),water level; water temperature; Other: inflow and discharge,
542,An 2003,"Dynamics of nitrogen, phosphorus, algal biomass, and suspended solids in an artificial lentic ecosystem and significant implications of regional hydrology on trophic status.",Consensus,,No,1,analyzed how hydrological fluctuations (monsoons) influence water quality of a reservoir over a two-year period ,flooding,,South Korea,Taechung Reservoir,,36.833333,127.833333,2,Other: twice a month,March; April; May; June; July; August; September; October; November; December,,,,,,,,,,,,,17,One depth,"monsoon; Other: premonsoon, postmonsoon",water temperature; secchi/transparency; total suspended solids; total dissolved solids; Other: volatile and non-volatile suspended solids,"total phosphorus (TP); total nitrogen (TN); conductivity; Other: sulfate, chloride, bicarbonate, calcium, magnesium, sodium, potassium",filtered chlorophyll (ug/L),ground-based measurements,,,decrease in phytoplankton quantity,20.1 ugL in the headwaters during the high-flow year; 32.4 ugL in the headwaters during the low-flow year,,,,,Other: flushing rate (higher = less chl-a),
514,Yan 2023,"Dynamics of phytoplankton functional groups in river-connected lakes and the major influencing factors: A case study of Dongting Lake, China",Consensus,,No,1,explore the interactive effects of hydrological characteristics and in-lake physicochemical parameters on phytoplankton community structure,water level fluctuation,,China,Dongting Lake,,28.85663598383743,112.6920998842415,5,quarterly,March; June; September; December,,19.31 - 34.60 depending on season,not reported,not reported,not reported,710-2670 (depending on season),not reported,7,,,,,11,One depth,rainy; dry,water temperature; secchi/transparency,pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); ammonia/ammonium (NH4/NH3+); conductivity; Other: COD_Mn (permanganate index),phytoplankton microscopy,ground-based measurements,decrease in phytoplankton quantity,0.76 mgL,increase in phytoplankton quantity,0.76 mgL,,,increase in cyanobacterial quantity,not reported,"water level; water temperature; pH; dissolved oxygen; conductivity/salinity; nitrogen; Other: COD_Mn (permanganate index), inflow",NA
499,Khaliullina 2022,Features of the Seasonal Dynamics of Phytoplankton in the Kama River (Kuibyshev Reservoir) in 2017,Consensus,"searched google maps for lat/long but still unsure-- the paper sites other papers for more information on the reservoir, but the papers appear to be in Russian and no data on max depth/volume/surface area are available in this paper",No,1,To study the influence of abiotic factors on seasonal phytoplankton dynamics,NA,drawdown,Russia,Kuibyshev,,53.647,48.9293,1,weekly,May; June; July; August; September; October,,,,,,,,1.5,,mesotrophic,0.03 mg/L,2mg/L at surface ,1,Multiple depths,,"water temperature; secchi/transparency; light (PAR, photic zone); total suspended solids; Other: air temperature","dissolved oxygen (DO); total phosphorus (TP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); metals; Other: BOD, COD, color, bicarbonate, hardness",phytoplankton microscopy,ground-based measurements,increase in phytoplankton quantity; shift in phytoplankton groups,surface samples jumped from <5 mg/L phytoplankton biovolume to 16.5mg/L and from <10 million cells/L to 204.5 million cells/L during a 2 week drawdown,decrease in phytoplankton quantity,,increase in cyanobacterial quantity; Other: bloom formation noted,"Microcystis aeruginosa, Anabaena flos-aquae, and A. planctonica increased and formed up to 54.31% of total abundance and 25.75% of the total biomass, with Bacillariophyta normally being dominant during non bloom.",decrease in cyanobacterial quantity,,water level,
496,Camara 2015,Morphofunctional changes of phytoplankton community during pluvial anomaly in a tropical reservoir,Consensus,,No,1,"""The present study focuses on the structure and function 
of phytoplankton community during periods of marked 
changes in hydrological traits, influenced by an atypical 
climatic event (La Niña) and its impact on Armando 
Ribeiro Gonçalves Reservoir of Rio Grande do Norte, 
situated in the Caatinga biome of northeastern Brazil.""",flooding,NA,Brazil,Armando Ribeiro Gonçalves Reservoir,,-5.6696495,-36.9021702,1.25,monthly,All months,,30,,,2.4 × 10 ^9,,,9.5,,not reported,218-384 ug/L,11.8-62 ug/L,1,Multiple depths,rainy; dry,water temperature; secchi/transparency,pH; dissolved oxygen (DO); soluble reactive phosphorus (SRP); total nitrogen (TN); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); conductivity,filtered chlorophyll (ug/L); phytoplankton microscopy,ground-based measurements,increase in phytoplankton quantity,Chla went from 31.5 ug/L to 62 ug/L,decrease in phytoplankton quantity,Chla went from 62 ug/L to 11.8 ug/L ,shift to more cyanobacterial dominated phytoplankton,,shift away from cyanobacterial dominated phytoplankton community,,water temperature; dissolved oxygen; conductivity/salinity; phosphorus; nitrogen,Yes
452,Zhao 2016,"Water quality analysis for the Three Gorges Reservoir, China, from 2010 to 2013",Consensus,"measured E. coli but not chl-a; E. coli ranged from 110 count/L to 926,300 count/L and exceeded water quality criteria at monitoring stations near densely populated downtown areas; water quality (according to an index) was lowest during low-level operation periods",No,1,evaluate water quality of Three Gorges Reservoir from 2010-2013,water level fluctuation,,China,Three Gorges Reservoir,,30.826122115273684,111.00324941882366,4,monthly,All months,,170,70,not reported,3.93e10^9,1045,not reported,30,,,0.06 - 0.61 mgL,,24,Other: not reported,,water temperature,"pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); ammonia/ammonium (NH4/NH3+); Other: COD_Mn (permanganate index), biochemical oxygen demand, chemical oxygen demand, copper, zinc, fluoride, selenium, arsenic, mercury, cadmium, chromium, lead, cyanide, volatile phenol, oil, anionic surfactant, sulfide",Other: E. coli,ground-based measurements,NA,not measured,NA,not measured,NA,not measured,NA,not measured,Other: not reported,NA
395,Khaliullina 2009,Seasonal and year-to-year dynamics of phytoplankton in connection with the level regime of the Kuibyshev Reservoir,Consensus,,No,1,a long-term dataset is used to analyze seasonal and interannual variation in the phytoplankton community in connection with seasonal water level changes,water level fluctuation,,Russia,Kuibyshev Reservoir,,,,9,monthly,May; June; July; August; September; October,,53,not reported,not reported,not reported,not reported,not reported,5-Apr,,,,,5,Other: vertically integrated at 1 m increments; but again the data are not displayed broken out by depth,,water temperature,,phytoplankton microscopy,ground-based measurements,increase in phytoplankton quantity,,,,,,,,water level; water temperature,NA
339,Hoyer 2009,The influence of external perturbations on the functional composition of phytoplankton in a Mediterranean reservoir,Consensus,,No,1,characterize how changes in outflow influence phytoplankton community composition in a reservoir,drought,hypolimnion selective withdrawal; metalimnion selective withdrawal; epilimnion selective withdrawal,Spain,El Gergal,,37.570278,-6.049167,5,Other: twice a month during stratified period and monthly during mixed,All months,,37,15.7,NA,35000000,NA,250,10,,hypereutrophic; eutrophic,,,1,Multiple depths,,water temperature,orthophosphate (ORP),phytoplankton microscopy,ground-based measurements,shift in phytoplankton groups,surface water withdrawal during summer resulted in blooms of Aphanizomenon and Microcystis; hypolimnetic withdrawal led to diatom dominance,,,,,,,Other: withdrawal depth,NA
318,Mineeva 2021,Long-term dynamics of photosynthetic pigments in plankton of a large plains reservoir,Consensus,really focused more on seasonal dynamics ,No,1,examine long term trends in phytoplankton and describe seasonal dynamics,water level fluctuation,,Russia,Rybinsk Reservoir,,58.4116,38.3404,11,Other: 1-2 times a month,May; June; July; August; September; October,,NA,5.6,NA,NA,4500,NA,1.8,,meso-eutrophic,,,6,Multiple depths,,"water temperature; secchi/transparency; Other: color, inflow, water level",total phosphorus (TP); total nitrogen (TN),Fluoroprobe (phytoplankton groups),ground-based measurements,increase in phytoplankton quantity,,decrease in phytoplankton quantity,,increase in cyanobacterial quantity,,decrease in cyanobacterial quantity,,"water level; air temperature; light (PAR or secchi depth); water temperature; Other: Wolf number, inflow volume",
307,Xiao 2016,"Succession of phytoplankton assemblages in response to large-scale reservoir operation: a case study in a tributary of the Three Gorges Reservoir, China",Consensus,,No,1,"""a 2-year investigation of the
succession of phytoplankton assemblages was conduct-
ed from May 2007 to April 2009 in the backwater area
of the Pengxi River (PBA), a typical tributary of the
Yangtze River in the TGR.""",water level fluctuation,refill; drawdown,China,Pengxi River,,30.9472141,108.6372231,2,Other: fortnightly,All months,,173,,145,,,,50,,eutrophic,"mean 76 ug/L, max 349 ug/L",11.7 ug/L,5,Multiple depths,,"water temperature; light (PAR, photic zone); total suspended solids","pH; total phosphorus (TP); soluble reactive phosphorus (SRP); total nitrogen (TN); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); Other: DON, DOP",filtered chlorophyll (ug/L); phytoplankton microscopy,ground-based measurements,NA,,decrease in phytoplankton quantity,Chla decreased from a maximum of 193.7 ug/L (mean 11.7) to a maximum of 17.9 ug/L (mean 3.3 ug/L) with reservoir filling up,NA,,decrease in cyanobacterial quantity; shift away from cyanobacterial dominated phytoplankton community,,"water temperature; phosphorus; nitrogen; Other: ""Several studies carried out in TGR have shown that
the main factors influencing phytoplankton composition,
density, and biomass are water retention time, advection
processes, vertical mixture regime, and longitudinal and
lateral gradients in physical and chemical conditions""",
286,Beaver 2018,"Long-term trends in seasonal plankton dynamics in Lake Mead (Nevada-Arizona, USA) and implications for climate change",Consensus,"we are going to remove this one since it doesn't test for water level, just observations during a drought",No,1,Aimed to characterize the response of phytoplankton and zooplankton communities to both linear and dynamic environmental changes across a 9 year time frame.,drought,drawdown,United States,Lake Mead,,36.25,-114.39,9,quarterly,January; April; August; December,,,,,,,,40,,oligo-mesotrophic,9 (ug/L),,17,Integrated sample,spring; summer; fall; winter; rainy; dry,water temperature; secchi/transparency,pH; dissolved oxygen (DO); total phosphorus (TP); conductivity,phytoplankton microscopy; cyanobacterial toxins,ground-based measurements,NA,,NA,,Other: Microcystis bloom following a warm winter when water levels were low-- concentrations ranged up to 4696 ug/L,,NA,,water temperature; Other: secchi depth,
284,Beaver 2013,Response of phytoplankton and zooplankton communities in six reservoirs of the middle Missouri River (USA) to drought conditions and a major flood event,Consensus,,Yes,6,assesses drought and flood effects on phytoplankton community dynamics in six reservoirs of the middle Missouri River,drought; flooding,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
245,Zhou 2022,Phytoplankton succession phenology trends in the backwaters of the three gorges reservoir in China and their drivers: Results from satellite observations,Consensus,"samples were collected in 4 backwaters of TGR. maximum depth of the reservoir is 175 m, max depth of backwaters are shallower",No,1,"""we attempt to (1) characterize the long-term trends in the phytoplankton phenology using several metrics, including the initiation, succession, and termination dates, in the TGR backwaters based on the Chla and Cyano-Chlorophyta index (CCI) time series derived from satellite imagery and (2) elucidate the environmental factors that drive the identified long-term trends in phytoplankton phenology, particularly focusing on the seasonal suc­cession phenology, in order to confirm whether the hypothetical reser­voir ecological regulation can be realized by adjusting the water level to 
guide the dynamics of phytoplankton habitat in the TGR backwaters, 
thereby alleviating the harmful phytoplankton blooms""",drawdown; water level fluctuation,drawdown,China,Three Gorges Reservoir,,,,12,"Other: 12 years of remote sensing data, data validated with 39 monitored samples from 2017-18",All months,,175,,,,,,~20,,,,,4,"Other: remote sensing, so ultimately an integrated sample to some depth",,turbidity,pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); ammonia/ammonium (NH4/NH3+),sensor chlorophyll (ug/L); Other: satellite chla,ground-based measurements,increase in phytoplankton quantity,see paper for more complete information,decrease in phytoplankton quantity,"mean chla in the high water level running period and reservoir storage period were 11.2 and 12.8 respectively, mean chla concentrations during spring discharge and summer flood (low water level) were 34.1 and 27.5ug/L respectively. See the paper for more information and additional sites",NA,NA,NA,NA,water level; air temperature,Yes
228,Sakharova 2018,Phytoplankton in the Littoral and Pelagial Zones of the Rybinsk Reservoir in Years with Different Temperature and Water-Level Regimes,Consensus,samples collected at shallow and deepwater sites,No,1,"""characterize features ofthe phytoplankton formation in different littoral shallow water areas and in the deepwater part of the Rybinsk Reservoir in years with different temperature and level regimes""",drawdown,NA,Russia,Rybinsk Reservoir,,,,2,Other: 1-6 times a month,April; May; June; July; August; September,,,,,,,,"~1m overall, ~0.4m seasonally",,,,,,,,,,phytoplankton microscopy,,Other: floristic richness increased,average biomass decreased >1.5times in the littoral zone and 3-4times in the pelagic zone associated with decreases in water level and increases in temperature,NA,,NA,,NA,,"Other: temperature and water level were identified, no tests of significance",NA
215,Robert 2021,"Environmental determinants of <i>E</i>. <i>coli</i>, link with the diarrheal diseases, and indication of vulnerability criteria in tropical West Africa (Kapore, Burkina Faso)",Consensus,"E.coli. Highest levels of e coli during the rainy season, e coli is more correlated with rainfall than with water level",No,1,"combining microbiological monitoring, hydrometeorological parameters and epidemiological analysis. ",drought,,Burkina Faso,Bagre Reservoir,,,,1,weekly,All months,,,,,,,,~7,,not reported,,,,One depth,rainy; dry; Other: two dry periods: dry and hot and dry and cooler,,,pathogens,remote sensing,NA,,NA,,NA,,NA,,,NA
214,Carvalho 2022,Uncovering the influence of hydrological and climate variables in chlorophyll-A concentration in tropical reservoirs with machine learning,Consensus,,Yes,3,explore effects of hydrological and climate variables on chl-a in large drinking water supply reservoirs in a semi-arid region,water level fluctuation,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,MacDonagh 2009,Plankton relationships under small water level fluctuations in a subtropical reservoir,Consensus,,No,1,Examine how hydrology (rainy years with a lot of surface spill and higher renewal rates) affect phytoplankton and zooplankton.,water level fluctuation,epilimnion selective withdrawal,Argentina,Río Tercero Reservoir,,-32.1939,-64.4325,2,Other: bimonthly,February; April; June; August; October; December,,46.5,12.2,NA,7.1 x 10^6,NA,4600,2.97,,not reported,22.33 ug/L,,3,Integrated sample,rainy; dry,"water temperature; secchi/transparency; light (PAR, photic zone)",pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); conductivity; Other: silica,filtered chlorophyll (ug/L); phytoplankton microscopy; Other: zooplankton,ground-based measurements,shift in phytoplankton groups; not significant,,shift in phytoplankton groups; not significant,,NA,,NA,,precipitation; light (PAR or secchi depth); water temperature; phosphorus; nitrogen,
178,Su 2017,Reducing production of taste and odor by deep-living cyanobacteria in drinking water reservoirs by regulation of water level,Consensus,"this paper only looked at shallow area's risk for planktothrix, but is a deep enough reservoir. They found that shallow areas are at the highest risk of planktothrix blooms, so expect to see increased blooms as water levels fall. More info about study location in Su et al. 2015",No,1,"""This study explores a possible novel strategy based on water level regulation to reduce the underwater light availability, thereby to prevent the blooming of MIB-producing cyanobacteria.""",drawdown,NA,China,Miyun,,,,,,,,,,,,,,,,,,,,,,,,single cyanobacterial taxon,remote sensing,NA,,NA,,increase in cyanobacterial quantity,,,the reservoir is at a higher risk for planktothrix blooms in the shallow zones as water levels decrease,,NA
