"","cov_num","study_id","title","rev_name","notes","num_res","num_wb","study_aim","mgmt_concerns","mgmt_strat","country","res_name","lat_dd","long_dd","num_yrs","sampling_regime","sampling_months","depth_max_m","depth_mean_m","depth_min_m","volume_m3","sa_km2","sa_ha","delta_water_level","delta_magnitude","trophic_status","tp_ug_l","tp_original","mean_chlorophyll_concentration_units","number_of_sites_within_the_reservoir","one_depth_or_multiple_depths","seasons","what_physical_variables_were_measured","what_chemical_variables_were_measured","what_biotic_variables_were_measured","how_was_water_level_measured","what_was_the_phytoplankton_response_to_decreases_in_water_level_or_drought","phyto_response_wl_decrease","quantify_the_change_in_phytoplankton_or_chlorophyll_in_response_to_water_level_decreases_if_reported","what_was_the_phytoplankton_response_to_increases_in_water_level_refill_or_flooding","phyto_response_wl_increase","quantify_the_change_in_phytoplankton_or_chlorophyll_in_response_to_water_level_if_reported","what_was_the_cyanobacterial_response_to_decreases_in_water_level_or_drought","cyano_response_wl_decrease","quantify_the_change_in_cyanobacteria_in_response_to_water_level_increases_if_reported","what_was_the_cyanobacterial_response_to_increases_in_water_level_refill_or_flooding","cyano_response_wl_increase","quantify_the_change_in_cyanobacteria_in_response_to_water_level_increases_if_reported_2","what_variables_were_identified_as_significant_drivers_of_phytoplankton_community","this_paper_is_exemplary"
"1",573,"Dzhaiani 2020","Interannual Changes in Phytoplankton of the Iriklinsky Reservoir","Consensus","Relatively small change in water level (2m w/ max depth of 36m); could try to calculate volume change based on inflow & outflow balances","No",1,"Examine interannual changes in phytoplankton as they relate to hydrodynamics.","water level fluctuation",NA,"Russia","Iriklinsky","51.6777","58.6237",3,"Other: 3 times per year; at least three sites","May; July; October","36","12.5","not reported","3250000000","260",NA,"2","","meso-eutrophic",NA,NA,"","6","One depth","NR","water temperature; secchi/transparency; Other: inflow; water level; and discharge","Other: they mention high nutrients with high inflow; but don't present any nutrient data","phytoplankton microscopy","ground-based measurements","not significant; Other: water level response varied by season and site","not significant","","not significant; Other: water level response varied by season and site","not significant","","decrease in cyanobacterial quantity","decrease","over an order of magnitude decline in cyanobacteria with lower water levels but only in one season (July) and only in one region (Dam reach-- represented by 3+ sampling sites)","increase in cyanobacterial quantity","increase","over an order of magnitude increase from 0.8 ug/L in lower water July to 30-210 ug/L in higher water Julys-- only observed trend in one season (July) and only in one of the two regions examined (Dam reach- represented by 3+ sampling sites)","water level; water temperature; Other: inflow and discharge",NA
"2",542,"An 2003","Dynamics of nitrogen; phosphorus; algal biomass; and suspended solids in an artificial lentic ecosystem and significant implications of regional hydrology on trophic status.","Consensus","maximum depth estimated from Fig. 2; reports mean depths for sections of the reservoir which are not reported in this table","No",1,"analyzed how hydrological fluctuations (monsoons) influence water quality of a reservoir over a two-year period","flooding",NA,"South Korea","Taechung Reservoir","36.833333","127.833333",2,"Other: twice a month","March; April; May; June; July; August; September; October; November; December","45","not reported","not reported","not reported","not reported","not reported","not reported","","not reported",NA,NA,"","17","One depth","monsoon; Other: premonsoon; postmonsoon","water temperature; secchi/transparency; total suspended solids; total dissolved solids; Other: volatile and non-volatile suspended solids","total phosphorus (TP); total nitrogen (TN); conductivity; Other: sulfate; chloride; bicarbonate; calcium; magnesium; sodium; potassium","filtered chlorophyll (ug/L)","ground-based measurements",NA,NA,NA,"decrease in phytoplankton quantity","decrease","20.1 ugL in the headwaters during the high-flow year; 32.4 ugL in the headwaters during the low-flow year",NA,NA,NA,NA,NA,NA,"Other: flushing rate (higher = less chl-a)",NA
"3",514,"Yan 2023","Dynamics of phytoplankton functional groups in river-connected lakes and the major influencing factors: A case study of Dongting Lake; China","Consensus","","No",1,"explore the interactive effects of hydrological characteristics and in-lake physicochemical parameters on phytoplankton community structure","water level fluctuation",NA,"China","Dongting Lake","28.85663598","112.6920999",5,"quarterly","March; June; September; December","34.6","not reported","not reported","not reported","2670","not reported","7","","not reported",NA,NA,"","11","One depth","rainy; dry","water temperature; secchi/transparency","pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); ammonia/ammonium (NH4/NH3+); conductivity; Other: COD_Mn (permanganate index)","phytoplankton microscopy","ground-based measurements","decrease in phytoplankton quantity","decrease","0.76 mgL","increase in phytoplankton quantity","increase","0.76 mgL",NA,NA,NA,"increase in cyanobacterial quantity","increase","not reported","water level; water temperature; pH; dissolved oxygen; conductivity/salinity; nitrogen; Other: COD_Mn (permanganate index); inflow",NA
"4",499,"Khaliullina 2022","Features of the Seasonal Dynamics of Phytoplankton in the Kama River (Kuibyshev Reservoir) in 2017","Consensus","searched google maps for lat/long but still unsure-- the paper sites other papers for more information on the reservoir; but the papers appear to be in Russian and no data on max depth/volume/surface area are available in this paper","No",1,"To study the influence of abiotic factors on seasonal phytoplankton dynamics",NA,"drawdown","Russia","Kuibyshev","53.647","48.9293",1,"weekly","May; June; July; August; September; October","","not reported","not reported","not reported","not reported","not reported","1.5","","mesotrophic",30,"0.03 mg/L","2mg/L at surface","1","Multiple depths","NR","water temperature; secchi/transparency; light (PAR; photic zone); total suspended solids; Other: air temperature","dissolved oxygen (DO); total phosphorus (TP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); metals; Other: BOD; COD; color; bicarbonate; hardness","phytoplankton microscopy","ground-based measurements","increase in phytoplankton quantity; shift in phytoplankton groups","increase","surface samples jumped from <5 mg/L phytoplankton biovolume to 16.5mg/L and from <10 million cells/L to 204.5 million cells/L during a 2 week drawdown","decrease in phytoplankton quantity","decrease","not reported","increase in cyanobacterial quantity; Other: bloom formation noted","increase","Microcystis aeruginosa; Anabaena flos-aquae; and A. planctonica increased and formed up to 54.31% of total abundance and 25.75% of the total biomass; with Bacillariophyta normally being dominant during non bloom.","decrease in cyanobacterial quantity","decrease","not reported","water level",NA
"5",496,"Camara 2015","Morphofunctional changes of phytoplankton community during pluvial anomaly in a tropical reservoir","Consensus","","No",1,"""The present study focuses on the structure and function 
 of phytoplankton community during periods of marked 
 changes in hydrological traits; influenced by an atypical 
 climatic event (La Niña) and its impact on Armando 
 Ribeiro Gonçalves Reservoir of Rio Grande do Norte; 
 situated in the Caatinga biome of northeastern Brazil.""","flooding",NA,"Brazil","Armando Ribeiro Gonçalves Reservoir","-5.6696495","-36.9021702",1.25,"monthly","All months","30","not reported","not reported","2400000000","not reported","not reported","9.5","","not reported",301,"218-384 ug/L","11.8-62 ug/L","1","Multiple depths","rainy; dry","water temperature; secchi/transparency","pH; dissolved oxygen (DO); soluble reactive phosphorus (SRP); total nitrogen (TN); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); conductivity","filtered chlorophyll (ug/L); phytoplankton microscopy","ground-based measurements","increase in phytoplankton quantity","increase","Chla went from 31.5 ug/L to 62 ug/L","decrease in phytoplankton quantity","decrease","Chla went from 62 ug/L to 11.8 ug/L","shift to more cyanobacterial dominated phytoplankton","shift","not reported","shift away from cyanobacterial dominated phytoplankton community","shift","not reported","water temperature; dissolved oxygen; conductivity/salinity; phosphorus; nitrogen","Yes"
"6",452,"Zhao 2016","Water quality analysis for the Three Gorges Reservoir; China; from 2010 to 2013","Consensus","measured E. coli but not chl-a; E. coli ranged from 110 count/L to 926;300 count/L and exceeded water quality criteria at monitoring stations near densely populated downtown areas; water quality (according to an index) was lowest during low-level operation periods","No",1,"evaluate water quality of Three Gorges Reservoir from 2010-2013","water level fluctuation",NA,"China","Three Gorges Reservoir","30.82612212","111.0032494",4,"monthly","All months","170","70","not reported","3930000000","1045","not reported","30","","not reported",335,"0.06 - 0.61 mgL","","24","not reported","NR","water temperature","pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); ammonia/ammonium (NH4/NH3+); Other: COD_Mn (permanganate index); biochemical oxygen demand; chemical oxygen demand; copper; zinc; fluoride; selenium; arsenic; mercury; cadmium; chromium; lead; cyanide; volatile phenol; oil; anionic surfactant; sulfide","Other: E. coli","ground-based measurements",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Other: not reported",NA
"7",395,"Khaliullina 2009","Seasonal and year-to-year dynamics of phytoplankton in connection with the level regime of the Kuibyshev Reservoir","Consensus","","No",1,"a long-term dataset is used to analyze seasonal and interannual variation in the phytoplankton community in connection with seasonal water level changes","water level fluctuation",NA,"Russia","Kuibyshev Reservoir","","",9,"monthly","May; June; July; August; September; October","53","not reported","not reported","not reported","not reported","not reported","5","","not reported",NA,NA,"","5","Other: vertically integrated at 1 m increments; but again the data are not displayed broken out by depth","","water temperature","","phytoplankton microscopy","ground-based measurements","increase in phytoplankton quantity","increase","",NA,"",NA,NA,NA,NA,NA,NA,NA,"water level; water temperature",NA
"8",339,"Hoyer 2009","The influence of external perturbations on the functional composition of phytoplankton in a Mediterranean reservoir","Consensus","","No",1,"characterize how changes in outflow influence phytoplankton community composition in a reservoir","drought","hypolimnion selective withdrawal; metalimnion selective withdrawal; epilimnion selective withdrawal","Spain","El Gergal","37.570278","-6.049167",5,"Other: twice a month during stratified period and monthly during mixed","All months","37","15.7","not reported","35000000","2.5","250","10","","hypereutrophic; eutrophic",NA,NA,"","1","Multiple depths","NR","water temperature","orthophosphate (ORP)","phytoplankton microscopy","ground-based measurements","shift in phytoplankton groups","shift","surface water withdrawal during summer resulted in blooms of Aphanizomenon and Microcystis; hypolimnetic withdrawal led to diatom dominance",NA,"",NA,NA,NA,NA,NA,NA,NA,"Other: withdrawal depth",NA
"9",318,"Mineeva 2021","Long-term dynamics of photosynthetic pigments in plankton of a large plains reservoir","Consensus","really focused more on seasonal dynamics","No",1,"examine long term trends in phytoplankton and describe seasonal dynamics","water level fluctuation",NA,"Russia","Rybinsk Reservoir","58.4116","38.3404",11,"Other: 1-2 times a month","May; June; July; August; September; October",NA,"5.6","not reported","not reported","4500",NA,"1.8","","meso-eutrophic",NA,NA,"","6","Multiple depths","NR","water temperature; secchi/transparency; Other: color; inflow; water level","total phosphorus (TP); total nitrogen (TN)","Fluoroprobe (phytoplankton groups)","ground-based measurements","increase in phytoplankton quantity","increase","","decrease in phytoplankton quantity","decrease","not reported","increase in cyanobacterial quantity","increase","","decrease in cyanobacterial quantity","decrease",NA,"water level; air temperature; light (PAR or secchi depth); water temperature; Other: Wolf number; inflow volume",NA
"10",307,"Xiao 2016","Succession of phytoplankton assemblages in response to large-scale reservoir operation: a case study in a tributary of the Three Gorges Reservoir; China","Consensus","","No",1,"""a 2-year investigation of the
 succession of phytoplankton assemblages was conduct-
 ed from May 2007 to April 2009 in the backwater area
 of the Pengxi River (PBA); a typical tributary of the
 Yangtze River in the TGR.""","water level fluctuation","refill; drawdown","China","Pengxi River","30.9472141","108.6372231",2,"Other: fortnightly","All months","173","","145","not reported","not reported","not reported","50","","eutrophic",76,"mean 76 ug/L; max 349 ug/L","11.7 ug/L","5","Multiple depths","NR","water temperature; light (PAR; photic zone); total suspended solids","pH; total phosphorus (TP); soluble reactive phosphorus (SRP); total nitrogen (TN); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); Other: DON; DOP","filtered chlorophyll (ug/L); phytoplankton microscopy","ground-based measurements",NA,NA,"","decrease in phytoplankton quantity","decrease","Chla decreased from a maximum of 193.7 ug/L (mean 11.7) to a maximum of 17.9 ug/L (mean 3.3 ug/L) with reservoir filling up",NA,NA,NA,"decrease in cyanobacterial quantity; shift away from cyanobacterial dominated phytoplankton community","decrease",NA,"water temperature; phosphorus; nitrogen; Other: ""Several studies carried out in TGR have shown that
 the main factors influencing phytoplankton composition;
 density; and biomass are water retention time; advection
 processes; vertical mixture regime; and longitudinal and
 lateral gradients in physical and chemical conditions""",NA
"11",286,"Beaver 2018","Long-term trends in seasonal plankton dynamics in Lake Mead (Nevada-Arizona; USA) and implications for climate change","Consensus","we are going to remove this one since it doesn't test for water level; just observations during a drought","No",1,"Aimed to characterize the response of phytoplankton and zooplankton communities to both linear and dynamic environmental changes across a 9 year time frame.","drought","drawdown","United States","Lake Mead","36.25","-114.39",9,"quarterly","January; April; August; December","","","not reported","not reported","not reported","not reported","40","","oligo-mesotrophic",9,"9 (ug/L)","","17","Integrated sample","spring; summer; fall; winter; rainy; dry","water temperature; secchi/transparency","pH; dissolved oxygen (DO); total phosphorus (TP); conductivity","phytoplankton microscopy; cyanobacterial toxins","ground-based measurements",NA,NA,"",NA,"",NA,"Other: Microcystis bloom following a warm winter when water levels were low-- concentrations ranged up to 4696 ug/L","increase","",NA,NA,NA,"water temperature; Other: secchi depth",NA
"12",245,"Zhou 2022","Phytoplankton succession phenology trends in the backwaters of the three gorges reservoir in China and their drivers: Results from satellite observations","Consensus","samples were collected in 4 backwaters of TGR. maximum depth of the reservoir is 175 m; max depth of backwaters are shallower","No",1,"""we attempt to (1) characterize the long-term trends in the phytoplankton phenology using several metrics; including the initiation; succession; and termination dates; in the TGR backwaters based on the Chla and Cyano-Chlorophyta index (CCI) time series derived from satellite imagery and (2) elucidate the environmental factors that drive the identified long-term trends in phytoplankton phenology; particularly focusing on the seasonal suc­cession phenology; in order to confirm whether the hypothetical reser­voir ecological regulation can be realized by adjusting the water level to 
 guide the dynamics of phytoplankton habitat in the TGR backwaters; 
 thereby alleviating the harmful phytoplankton blooms""","drawdown; water level fluctuation","drawdown","China","Three Gorges Reservoir",NA,NA,12,"Other: 12 years of remote sensing data; data validated with 39 monitored samples from 2017-18","All months","175","","not reported","not reported","not reported","not reported","20","","not reported",NA,NA,"","4","Other: remote sensing; so ultimately an integrated sample to some depth","","turbidity","pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); ammonia/ammonium (NH4/NH3+)","sensor chlorophyll (ug/L); Other: satellite chla","ground-based measurements","increase in phytoplankton quantity","increase","see paper for more complete information","decrease in phytoplankton quantity","decrease","mean chla in the high water level running period and reservoir storage period were 11.2 and 12.8 respectively; mean chla concentrations during spring discharge and summer flood (low water level) were 34.1 and 27.5ug/L respectively. See the paper for more information and additional sites",NA,NA,NA,NA,NA,NA,"water level; air temperature","Yes"
"13",228,"Sakharova 2018","Phytoplankton in the Littoral and Pelagial Zones of the Rybinsk Reservoir in Years with Different Temperature and Water-Level Regimes","Consensus","samples collected at shallow and deepwater sites","No",1,"""characterize features ofthe phytoplankton formation in different littoral shallow water areas and in the deepwater part of the Rybinsk Reservoir in years with different temperature and level regimes""","drawdown",NA,"Russia","Rybinsk Reservoir",NA,NA,2,"Other: 1-6 times a month","April; May; June; July; August; September","","","not reported","not reported","not reported","not reported","1","","not reported",NA,NA,"",NA,"not reported","NR",NA,"","phytoplankton microscopy","","Other: floristic richness increased","other","average biomass decreased >1.5times in the littoral zone and 3-4times in the pelagic zone associated with decreases in water level and increases in temperature",NA,"",NA,NA,NA,NA,NA,NA,NA,"Other: temperature and water level were identified; no tests of significance",NA
"14",215,"Robert 2021","Environmental determinants of <i>E</i>. <i>coli</i>; link with the diarrheal diseases; and indication of vulnerability criteria in tropical West Africa (Kapore; Burkina Faso)","Consensus","E.coli. Highest levels of e coli during the rainy season; e coli is more correlated with rainfall than with water level","No",1,"combining microbiological monitoring; hydrometeorological parameters and epidemiological analysis.","drought",NA,"Burkina Faso","Bagre Reservoir",NA,NA,1,"weekly","All months","","","not reported","not reported","not reported","not reported","7","","not reported",NA,NA,"",NA,"One depth","rainy; dry; Other: two dry periods: dry and hot and dry and cooler","","","pathogens","remote sensing",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"15",206,"MacDonagh 2009","Plankton relationships under small water level fluctuations in a subtropical reservoir","Consensus","","No",1,"Examine how hydrology (rainy years with a lot of surface spill and higher renewal rates) affect phytoplankton and zooplankton.","water level fluctuation","epilimnion selective withdrawal","Argentina","Río Tercero Reservoir","-32.1939","-64.4325",2,"Other: bimonthly","February; April; June; August; October; December","46.5","12.2","not reported","7100000","46","4600","2.97","","not reported",22.33,"22.33 ug/L","","3","Integrated sample","rainy; dry","water temperature; secchi/transparency; light (PAR; photic zone)","pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); conductivity; Other: silica","filtered chlorophyll (ug/L); phytoplankton microscopy; Other: zooplankton","ground-based measurements","shift in phytoplankton groups; not significant","shift","","shift in phytoplankton groups; not significant","not significant","not reported",NA,NA,NA,NA,NA,NA,"precipitation; light (PAR or secchi depth); water temperature; phosphorus; nitrogen",""
"16",178,"Su 2017","Reducing production of taste and odor by deep-living cyanobacteria in drinking water reservoirs by regulation of water level","Consensus","this paper only looked at shallow area's risk for planktothrix; but is a deep enough reservoir. They found that shallow areas are at the highest risk of planktothrix blooms; so expect to see increased blooms as water levels fall. More info about study location in Su et al. 2015","No",1,"""This study explores a possible novel strategy based on water level regulation to reduce the underwater light availability; thereby to prevent the blooming of MIB-producing cyanobacteria.""","drawdown",NA,"China","Miyun","","",4,"Other: a total of 27 samples were collected","","","","not reported","not reported","not reported","not reported","not reported","","not reported",NA,NA,"",NA,"remote sensing","NR",NA,"","single cyanobacterial taxon","remote sensing",NA,NA,"",NA,"",NA,"increase in cyanobacterial quantity","increase","",NA,NA,"the reservoir is at a higher risk for planktothrix blooms in the shallow zones as water levels decrease","",NA
"17",165,"Fadel 2015","Environmental factors associated with phytoplankton succession in a Mediterranean reservoir with a highly fluctuating water level","Consensus","had six sites, only reported information from one of them","No",1,"""In this study; we try to (1) present the temporal variation of
 physico-chemical parameters in Karaoun Reservoir; (2) identify its phytoplankton composition and (3) understand the processes controlling phytoplankton succession in this reservoir with a high water level fluctuation""","water level fluctuation",NA,"Lebanon","Karaoun Reservoir","33.5697089","35.6953841",1.25,"Other: fortnightly","All months","60","19","35","224000000","not reported","not reported","22","","not reported",225,"50-400 ug/L - would guess eutrophic!","","1","Multiple depths","rainy; dry","water temperature; secchi/transparency","dissolved oxygen (DO); total phosphorus (TP); orthophosphate (ORP); nitrate (NO3); ammonia/ammonium (NH4/NH3+)","filtered chlorophyll (ug/L); phytoplankton microscopy; Other: zooplankton microscopy","ground-based measurements","increase in phytoplankton quantity; shift in phytoplankton groups","increase","","decrease in phytoplankton quantity; shift in phytoplankton groups","decrease","not reported","increase in cyanobacterial quantity; shift to more cyanobacterial dominated phytoplankton","increase","","decrease in cyanobacterial quantity; shift away from cyanobacterial dominated phytoplankton community","decrease",NA,"light (PAR or secchi depth); water temperature; phosphorus; Other: thermal stratification",NA
"18",143,"Olds 2011","Water quality parameters of a Nebraska reservoir differ between drought and normal conditions","Consensus","system doesn't stratify due to wind","No",1,"Compare water quality between a 4 year drought and 3 years of normal conditions","drought",NA,"United States","Harlan County Reservoir","40.0621","-99.2897",7,"Other: biweekly","April; May; June; July; August; September; October","18","4","not reported","not reported","53.62","5362","not reported","50","not reported",NA,NA,"","15","Integrated sample","NR","water temperature; turbidity; Other: inflow; water level; and precipitation","dissolved oxygen (DO)","sensor chlorophyll (ug/L)","ground-based measurements","increase in phytoplankton quantity","increase","","decrease in phytoplankton quantity","decrease","five fold decline in chlorophyll between highest mean at peak drought and lowest mean at return to normal (117.6 to 24.5 ug/L)",NA,NA,NA,NA,NA,NA,"Other: NA; didn't examine drivers; just compared drought to non-drought",""
"19",141,"Huang 2023","Reducing the water residence time is inadequate to limit the algal proliferation in eutrophic lakes","Consensus","not sure this fits the water level criteria? they determine that in a basin of Lake Taihu; reducing the WRT to 3 days is insufficient to prevent algal blooms","No",1,"assess the effect of flushing (reducing water residence time to 3 days) on the growth of cyanobacteria and occurrence of blooms","","hydraulic flushing","China","Lake Taihu","","",1,"quarterly","January; May; July; October","","","not reported","not reported","not reported","not reported","not reported","not reported","not reported",NA,NA,"11.14 ug/L","5","One depth","NR","water temperature; secchi/transparency; turbidity","pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); total nitrogen (TN); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); Other: chemical oxygen demand","filtered chlorophyll (ug/L); phytoplankton microscopy","Other: not measured",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"phosphorus; nitrogen",NA
"20",140,"Pan 2018","Effects of Water Level Increase on Phytoplankton Assemblages in a Drinking Water Reservoir","Consensus","Unique-- inundation of previously unflooded land. Nice literature review in discussion","No",1,"Examine how a managed filling of the reservoir affected phytoplankton assemblage (sampling before; during and after).",NA,"refill","China","Danjiangkou Reservoir","32.7273","111.56",3,"","January; May; July; October","80",NA,"not reported","290500000000","1050",NA,"24",">40%","not reported",33,"0.033 mg/L (0.02-0.05 depending on time frame)","","10","One depth","dry; monsoon","water temperature; secchi/transparency","pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); conductivity; Other: COD","phytoplankton microscopy","ground-based measurements",NA,NA,"","decrease in phytoplankton quantity; shift in phytoplankton groups","decrease","Decrease from 7.4 mg/L phytoplankton biomass before refill and 4.9 mg/L during refill; 2.3 mg/L after refill. More muted seasonal pattern in assemblages.",NA,NA,"","increase in cyanobacterial quantity","increase","Increased Lyngbya sp. after refill (October 2015)-- a group that can produce potent lethal neurotoxins; but toxin testing was not done as part of this study","water level; water temperature; pH; phosphorus; Other: COD",""
"21",128,"Pham 2021","Toxic cyanobacteria and microcystin dynamics in a tropical reservoir: assessing the influence of environmental variables","Consensus","The study correlates monthly observations with water level; but unclear how well season was disentangled from water level-- authors do say that water level is dependent on reservoir operations","No",1,"Investigate dynamic of toxic cyanobacteria and microcystin concentration in a tropical reservoir","water level fluctuation","drawdown","Vietnam","Tri An","11.2057","107.1479",1,"monthly","All months","27","8.5","not reported","2700000000","320",NA,"12","","eutrophic",140,"0.1-0.18 mg/L","","5","One depth","rainy; dry","water temperature; secchi/transparency; light (PAR; photic zone); total suspended solids; Other: rainfall","pH; dissolved oxygen (DO); total phosphorus (TP); orthophosphate (ORP); total nitrogen (TN); nitrate (NO3)","filtered chlorophyll (ug/L); phytoplankton microscopy; Other: DNA qPCR","ground-based measurements","increase in phytoplankton quantity","increase","",NA,"",NA,"increase in cyanobacterial quantity; Other: increase in microcystins","increase","",NA,NA,NA,"water level; precipitation; light (PAR or secchi depth); phosphorus; nitrogen",""
"22",71,"Li 2018","Impact of water level fluctuations on the development of phytoplankton in a large subtropical reservoir: implications for the management of cyanobacteria","Consensus","Compares 6 month ""low water"" and 6 month ""high water"" post flood","No",1,"Evaluate the influence of water level fluctuations (flood); temperature; stratification; and nutrients on the development of phytoplankton and cyanobacteria","water level fluctuation; flooding",NA,"China","Hongfeng","26.4806","106.4123",1,"monthly","All months","45","11","not reported","601000000","57.2",NA,"6","40%","not reported",90,"10-90 ug/L peaks up to 140 ug/L in summer","","6","Multiple depths","NR","water temperature; secchi/transparency; Other: relative thermal resistance","pH; total phosphorus (TP); conductivity","phytoplankton microscopy","ground-based measurements",NA,NA,"","decrease in phytoplankton quantity; shift in phytoplankton groups","decrease","3211 mm3 m-3 mean total biovolume in low level period; 2769 mm3 m-3 in high level",NA,NA,"","decrease in cyanobacterial quantity","decrease","Limnothrix; Oscillatoria; and Pseudanabaena went from 581 mm3 m-3 under low level to 153 mm3 m-3 under high water level","water level; water temperature; Other: relative thermal resistance",""
