"","cov_num","study_id","title","rev_name","notes","num_res","num_wb","study_aim","mgmt_concerns","mgmt_strat","country","res_name","lat_dd","long_dd","num_yrs","sampling_regime","sampling_months","depth_max_m","depth_mean_m","depth_min_m","volume_m3","sa_km2","sa_ha","delta_water_level","delta_magnitude","trophic_status","tp_ug_l","tp_original","mean_chlorophyll_concentration_units","number_of_sites_within_the_reservoir","one_depth_or_multiple_depths","seasons","what_physical_variables_were_measured","what_chemical_variables_were_measured","what_biotic_variables_were_measured","how_was_water_level_measured","what_was_the_phytoplankton_response_to_decreases_in_water_level_or_drought","phyto_response_wl_decrease","quantify_the_change_in_phytoplankton_or_chlorophyll_in_response_to_water_level_decreases_if_reported","what_was_the_phytoplankton_response_to_increases_in_water_level_refill_or_flooding","phyto_response_wl_increase","quantify_the_change_in_phytoplankton_or_chlorophyll_in_response_to_water_level_if_reported","what_was_the_cyanobacterial_response_to_decreases_in_water_level_or_drought","cyano_response_wl_decrease","quantify_the_change_in_cyanobacteria_in_response_to_water_level_increases_if_reported","what_was_the_cyanobacterial_response_to_increases_in_water_level_refill_or_flooding","cyano_response_wl_increase","quantify_the_change_in_cyanobacteria_in_response_to_water_level_increases_if_reported_2","what_variables_were_identified_as_significant_drivers_of_phytoplankton_community","this_paper_is_exemplary"
"23",68,"Magalhaes 2019","Environmental factors driving the dominance of the harmful bloom-forming cyanobacteria <i>Microcystis</i> and <i>Aphanocapsa</i> in a tropical water supply reservoir","Consensus","an alum treatment was applied in 2015; modified clay was applied in 2016 and 2017; no crest gate controlling the overflow; this paper has a lot of really interesting and valuable info and the associated figures have six years of microcystis and aphanocapsa with water level; did not specify number of sites within the reservoir; assuming 1","No",1,"Surveyed the abundance and compositional changes of cyanobacteria in a tropical reservoir and analyzed effects of environmental factors using generalized linear models on a 6 year dataset","water level fluctuation",NA,"Brazil","Joanes Reservoir I","-12.568109","-38.199562",7,"monthly; Other: fortnightly","All months","16.78","","14.42","not reported","186",NA,"not reported","not reported","not reported",80,"0.08mg/L","","1","Other: chemical variables and phytoplankton samples except for 2015 were collected at one depth (0.5m); 2015 phytoplankton samples were collected at 3 depths","summer; winter; Other: ""characterized by two seasons; summer (October–
 February); with low rainfall index and high temperatures; and 
 winter (April–August); with more intense rainfall regime and 
 milder temperatures""","water temperature; turbidity","pH; total phosphorus (TP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); metals; conductivity; Other: BOD; aluminum; sulfate","phytoplankton microscopy; cyanobacterial toxins","ground-based measurements",NA,NA,"",NA,"",NA,"increase in cyanobacterial quantity","increase","the model could quantify this; but was not directly reported","decrease in cyanobacterial quantity","decrease","the model could quantify this; but was not directly reported","water level; precipitation; phosphorus; Other: aluminum","Yes"
"24",66,"Pham 2022","Factors affecting the seasonal succession of phytoplankton functional groups in a tropical floodplain reservoir in Vietnam","Consensus","","No",1,"Examine response of phytoplankton functional groups to hydrologic regime & physiochemical variables.","water level fluctuation",NA,"Vietnam","Tri An","11.1832","107.1567",1,"monthly","All months",NA,NA,"not reported","2700000000","320",NA,"9.2","not reported","eutrophic",NA,NA,"","6","One depth","rainy; dry","water temperature; secchi/transparency; total suspended solids","pH; dissolved oxygen (DO); total phosphorus (TP); orthophosphate (ORP); total nitrogen (TN); total kjeldahl nitrogen (TKN); nitrate (NO3); dissolved inorganic nitrogen (DIN)","filtered chlorophyll (ug/L); phytoplankton microscopy","ground-based measurements","decrease in phytoplankton quantity; shift in phytoplankton groups","decrease","","increase in phytoplankton quantity; shift in phytoplankton groups","increase","not reported","decrease in cyanobacterial quantity; shift away from cyanobacterial dominated phytoplankton community","decrease","Microcystis was generally less than half of total biomass in dry season; but consistently dominated during dry season; comprising up to 81.6% of total biomass.","increase in cyanobacterial quantity; shift to more cyanobacterial dominated phytoplankton","increase","Microcystis bloom during rainy season; high water.","water level; precipitation; light (PAR or secchi depth); water temperature; Other: water level measured as water depth... other chemical predictors on secondary axis; but primary axis explained most of the variance",""
"25",64,"Abirhire 2019","An examination of the long-term relationship between hydrologic variables and summer algal biomass in a large Prairie reservoir","Consensus","I've submitted an ILL request for the full text of this article","No",1,"assessed effect of hydrological drought on chl-a using 31 years of hydrologic data and remotely sensed chl-a","drought",NA,"Canada","Lake Diefenbaker","51.031389","-106.835833",2,"monthly","May; June; July; August; September; October","59","22","not reported","9.03E+09","394",NA,"5.5","25","mesotrophic",NA,NA,"","15","One depth","NR",NA,"","filtered chlorophyll (ug/L)","ground-based measurements","increase in phytoplankton quantity; shift in phytoplankton groups","increase","5.37 vs 6.06 ugL; mean Aug. concentrations in wet vs dry years",NA,"",NA,"increase in cyanobacterial quantity","increase","2% in wet years to up to 25% in dry years",NA,NA,NA,"water level; Other: inflow",""
"26",63,"Abirhire 2023","Response of phytoplankton community composition to physicochemical and meteorological factors under different hydrological conditions in Lake Diefenbaker","Consensus","planning to increase water extraction in future but the depth at which this will occur is not stated","No",1,"investigating how changes in flow (high flow vs. low flow years) affect major phytoplankton groups and cyanobacterial community in the river-reservoir using a 9-year timeseries",NA,NA,"Canada","Lake Diefenbaker","51.031389","-106.835833",9,"monthly","June; July; August; September; October","58","22","not reported","9400000000","430",NA,"3","not reported","mesotrophic",18.745,"14.27-23.22 (ug/L)","","7","One depth","spring; summer; fall","water temperature; secchi/transparency; light (PAR; photic zone); turbidity","pH; dissolved oxygen (DO); dissolved organic carbon (DOC); total phosphorus (TP); soluble reactive phosphorus (SRP); total nitrogen (TN); nitrate (NO3); dissolved inorganic nitrogen (DIN); conductivity; Other: total dissolved phosphorus; particulate phosphorus; particulate carbon; particulate nitrogen","phytoplankton microscopy","Other: not measured","shift in phytoplankton groups","shift","",NA,"",NA,"shift to more cyanobacterial dominated phytoplankton","shift","not reported",NA,NA,NA,"water level; water temperature; DOC/DIC; phosphorus; nitrogen; Other: flow; Secchi",NA
"27",53,"Gámez 2023","Dynamic phytoplankton community structure in a subtropical reservoir during an extended drought; Central Texas; USA","Consensus","","No",1,"investigate probability of cyanoHABs in subtropical reservoir under drought","drought",NA,"USA","Lake Buchanan","30.8001935","-98.40002146",5,"Other: every other month","February; April; June; August; September; October; December","40",NA,"not reported","1080000000",NA,NA,"10.6","36% of conservation volume during peak drought to 109% post-drought","eutrophic",120,"0.12 (mg/L)","10.9 (ug/L)","1","One depth","spring; summer; fall; winter","water temperature; secchi/transparency; turbidity","pH; dissolved oxygen (DO); soluble reactive phosphorus (SRP); total kjeldahl nitrogen (TKN); nitrate (NO3); ammonia/ammonium (NH4/NH3+); conductivity; Other: alkalinity; chloride; sulfate","phytoplankton microscopy","ground-based measurements","increase in phytoplankton quantity; shift in phytoplankton groups","increase","chla was higher during drought years (annual means of 11.67 and 15.40 over two drought years) than during non-drought years (annual means of 9.99; 8.48; 9.18 over three non-drought years)",NA,"",NA,"increase in cyanobacterial quantity; shift to more cyanobacterial dominated phytoplankton; Other: more Planktothrix during drought than after drought","increase","",NA,NA,NA,"conductivity/salinity; Other: sulfate",NA
"28",32,"Ye 2022","Nonlinear causal analysis reveals an effective water level regulation approach for phytoplankton blooms controlling in reservoirs","Consensus","","No",1,"aimed to examine whether water level fluctuation is a causal factor driving the dynamics of phytoplankton biomass and whether water level regulation can be used to control blooms","water level fluctuation",NA,"China","Three Gorges Reservoir (specifically in Xiangxi Bay)","30.82774361","111.0037644",9,"","All months","175","not reported","not reported","39300000000","1080",NA,"not reported","","",NA,NA,"11.54 ugL","1","One depth","NR",NA,"","filtered chlorophyll (ug/L)","ground-based measurements","Other: in scenario analysis; water level fluctuation decreased chlorophyll-a; and this decrease was more pronounced at higher initial chl-a concentrations","other","in scenario analysis; water level fluctuation decreased chlorophyll-a; and this decrease was more pronounced at higher initial chl-a concentrations","decrease in phytoplankton quantity","decrease","In scenario analysis; water level fluctuation decreased chlorophyll-a; and this decrease was more pronounced at higher initial chl-a concentrations. Also; rises in water level were more effective in decreasing chl-a than decreases in water level (also according to scenario analysis)",NA,NA,NA,NA,NA,NA,"water level",NA
"29",25,"Song 2023","Can selective withdrawal control algal blooms in reservoirs? The underlying hydrodynamic mechanism","Consensus","the surface withdrawal scenario sufficiently inhibited algal growth and restrained bloom development in the simulated Delft 3D model and the middle withdrawal scenario slightly reduced chlorophyll a concentrations. The thermal structure in the surface withdrawal scenario was more weakly stratified","No",1,"""The aim is to (1) reveal the effects of selective withdrawal on the algal growth process and its limiting factors; (2) explore changes in hydrodynamic charac­teristics under selective withdrawal scenarios; and (3) analyze the re­lationships between hydrodynamic conditions and algal blooms in the reservoir.""",NA,"hypolimnion selective withdrawal; metalimnion selective withdrawal; epilimnion selective withdrawal","China","Zipingpu","31.02","103.52",2,"monthly","All months","","","not reported","not reported","not reported","not reported","40","","not reported",NA,NA,"not reported","5","One depth","NR",NA,"dissolved oxygen (DO); nitrate (NO3); ammonia/ammonium (NH4/NH3+); Other: phosphate","filtered chlorophyll (ug/L)","ground-based measurements",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",21,"Liao 2024","The influence mechanism of water level operation on algal blooms in canyon reservoirs and bloom prevention","Consensus","I'm not totally sure that there the water level fluctuations occurred over a time period of 3 months or more; but otherwise this is a super relevant paper. This paper looked at water level operations over 5 stages of the year. April - September","No",1,"investigate the impact of water level operations on algal blooms in a canyon reservoir","water level fluctuation","refill; drawdown","China","Zipingpu Reservoir","31.017482","103.53747",6,"Other: 35 times between 2015-17 and 2020-2022","April; May; July; August; September","120","","not reported","not reported","not reported","not reported","58",NA,"not reported",NA,NA,"","7","One depth","NR","water temperature","pH; total phosphorus (TP); total nitrogen (TN)","filtered chlorophyll (ug/L); phytoplankton microscopy","ground-based measurements","",NA,"water level fluctuation was identified as a driving factor of algal blooms. The study divided the year into 5 stages; and each stage was assessed for blooms. They found that rising water levels in stages 1 and 2 promoted algal blooms. Decreasing water levels are said to flush the reservoir.","increase in phytoplankton quantity; Other: led to an increase in phytoplankton blooms due to stabilization of the water column and an increased water retention time","increase","not reported",NA,NA,NA,NA,NA,NA,"water level; Other: water level operations",NA
"31",20,"Bakker 2016","Impact of water-level fluctuations on cyanobacterial blooms:options for managemen","Mary","review paper!","Yes",12,"review of 12 case studies reporting water level fluctuations; characterize responses to water level fluctuation","water level fluctuation",NA,"Israel","Lake Kinneret","32.833333","35.583333",NA,"","","43","","not reported","not reported","not reported","not reported","4.7","","meso-eutrophic",NA,NA,"","","not reported","NR",NA,"","","","",NA,"",NA,"",NA,"blooms","increase","not reported","blooms","increase","blooms","increased fish reproduction --> decreased zooplankton grazing",NA
"32",20,"Bakker 2016","Impact of water-level fluctuations on cyanobacterial blooms:options for managemen","Mary","review paper!","Yes",12,"review of 12 case studies reporting water level fluctuations; characterize responses to water level fluctuation","water level fluctuation",NA,"Estonia","Lake Peipsi","58.666667","27.433333",NA,"","","15.3","","not reported","not reported","not reported","not reported","1","","eutophic",NA,NA,"","","not reported","NR",NA,"","","","",NA,"",NA,"",NA,"blooms","increase","not reported","blooms","increase","blooms","increased zooplankton grazing on small algae",NA
"33",20,"Bakker 2016","Impact of water-level fluctuations on cyanobacterial blooms:options for managemen","Mary","review paper!","Yes",12,"review of 12 case studies reporting water level fluctuations; characterize responses to water level fluctuation","water level fluctuation",NA,"Italy","Maggiore","45.916667","8.533333",NA,"","","372","","","","not reported","not reported","3","","oligotrophic",NA,NA,"","","not reported","NR",NA,"","","","",NA,"",NA,"",NA,"blooms","increase","not reported","blooms","increase","blooms","release of nutrients from drying/rewetting littoral zone",NA
"34",72,"Mendes 2022","The reduction in water volume favors filamentous cyanobacteria and heterocyst production in semiarid tropical reservoirs without the influence of the N:P ratio","Katie","the accumulation and concentration of nutrients caused by the reduction in water volume as well as internal loading is pointed to as the mechanism for eutrophication intensification in the paper. This is a really good paper; but looks at water volume instead of water level. paper extracted in the multiple waterbodies sheet; depths >10m from supplement","Yes",3,"assessing the effects of water volume reduction on cyanobacteria abundance and heterocyst production during a prolonged drought","drought; drawdown",NA,"Brazil","Camalaú","-7.884889","-36.839028",2,"quarterly","February; April; June; July; October; December","27.4",NA,NA,"46440000","1.94",NA,"not reported","48% reduction in water volume","eutrophic",NA,NA,"not reported","3","One depth","NR","water temperature; secchi/transparency; turbidity; total dissolved solids","pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); salinity; Other: DIN and non algal turbidity (NAT) measured indirectly","filtered chlorophyll (ug/L); phytoplankton microscopy","ground-based measurements","not reported",NA,"not reported",NA,"",NA,"decreases in water volume led to significant increases in cyanobacteria biomass. also increases in heterocystous filaments","increase","in addition to increase in total biomass of cyanobacteria; there was a change in the pattern of dominance of cyanobacterial species",NA,NA,NA,"water volume; trophic state index; water transparency",NA
"35",72,"Mendes 2022","The reduction in water volume favors filamentous cyanobacteria and heterocyst production in semiarid tropical reservoirs without the influence of the N:P ratio","Katie","the accumulation and concentration of nutrients caused by the reduction in water volume as well as internal loading is pointed to as the mechanism for eutrophication intensification in the paper. This is a really good paper; but looks at water volume instead of water level. paper extracted in the multiple waterbodies sheet; depths >10m from supplement","Yes",3,"assessing the effects of water volume reduction on cyanobacteria abundance and heterocyst production during a prolonged drought","drought; drawdown",NA,"Brazil","Acauã","-7.441314","-35.560189",2,"quarterly","February; April; June; July; October; December","40",NA,NA,"253000000","18.76",NA,"not reported","69% reduction in water volume","eutrophic",NA,NA,"not reported","3","One depth","NR","water temperature; secchi/transparency; turbidity; total dissolved solids","pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); salinity; Other: DIN and non algal turbidity (NAT) measured indirectly","filtered chlorophyll (ug/L); phytoplankton microscopy","ground-based measurements","not reported",NA,"not reported",NA,"",NA,"showed no significant differences in total biovolume or among the three morphotypes of cyanobacteria in respons to water volume decreases","not significant","no significant differences",NA,NA,NA,NA,NA
"36",72,"Mendes 2022","The reduction in water volume favors filamentous cyanobacteria and heterocyst production in semiarid tropical reservoirs without the influence of the N:P ratio","Katie","the accumulation and concentration of nutrients caused by the reduction in water volume as well as internal loading is pointed to as the mechanism for eutrophication intensification in the paper. This is a really good paper; but looks at water volume instead of water level. paper extracted in the multiple waterbodies sheet; depths >10m from supplement","Yes",3,"assessing the effects of water volume reduction on cyanobacteria abundance and heterocyst production during a prolonged drought","drought; drawdown",NA,"Brazil","Boqueirão","-7.497886","-36.141872",2,"quarterly","February; April; June; July; October; December","43.9",NA,NA,"411690000","48.44",NA,"not reported","85% reduction in water volume","eutrophic",NA,NA,"not reported","3","One depth","NR","water temperature; secchi/transparency; turbidity; total dissolved solids","pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); salinity; Other: DIN and non algal turbidity (NAT) measured indirectly","filtered chlorophyll (ug/L); phytoplankton microscopy","ground-based measurements","not reported",NA,"not reported",NA,"",NA,"decreases in water volume led to significant increases in cyanobacteria biomass. also increases in heterocystous filaments","increase","in addition to increase in total biomass of cyanobacteria; there was a change in the pattern of dominance of cyanobacterial species",NA,NA,NA,"water volume; turbidity; salinity",NA
"37",284,"Beaver 2014","Response of phytoplankton and zooplankton communitiesin six reservoirs of the middle Missouri River (USA)to drought conditions and a major flood event","Mary","","yes",6,"assesses drought and flood effects on phytoplankton community dynamics in six reservoirs of the middle Missouri River","drought; flooding",NA,"USA","Fort Peck Lake","48","not reported",8,"","May; June; July; August; October","65.8","24.1","","23100000000","858","not reported","not reported","","mesotrophic",NA,NA,"","6","One depth","NR","water temperature; Secchi depth; turbidity; water residence time","NH4; NO3; NO2; SRP","chlorophyll-a; phytoplankton microscopy; zooplankton","ground-based measurements","",NA,"used biovolume; PCA; CCA","increased biovolume during drought recovery but decreased biovolume during flooding; increased biovolume during drought recovery was colonial taxa; primarily diatoms Aulacoseira and Fragilariaceae","mixed response","not reported",NA,"",NA,NA,NA,NA,"water temperature; Secchi; turbidity; WRT",NA
"38",284,"Beaver 2015","Response of phytoplankton and zooplankton communitiesin six reservoirs of the middle Missouri River (USA)to drought conditions and a major flood event","Mary","","yes",6,"assesses drought and flood effects on phytoplankton community dynamics in six reservoirs of the middle Missouri River","drought; flooding",NA,"USA","Lake Sakakawea","47.5","not reported",8,"","May; June; July; August; October","53.9","18.9","","29400000000","1242","not reported","not reported","","mesotrophic",NA,NA,"","9","One depth","NR","water temperature; Secchi depth; turbidity; water residence time","NH4; NO3; NO2; SRP","chlorophyll-a; phytoplankton microscopy; zooplankton","ground-based measurements","cyanobacteria bloom; Aphanizomenon; Anabaena; Microcystis",NA,"used biovolume; PCA; CCA","increased biovolume during drought recovery but decreased biovolume during flooding; increased biovolume during drought recovery was colonial taxa; primarily diatoms Aulacoseira and Fragilariaceae","mixed response","not reported","cyanobacteria bloom; Aphanizomenon; Anabaena; Microcystis","increase","not reported",NA,NA,NA,"water temperature; Secchi; turbidity; WRT; also; reduced outflow and increased thermal stratification led to cyanobacterial blooms",NA
"39",284,"Beaver 2016","Response of phytoplankton and zooplankton communitiesin six reservoirs of the middle Missouri River (USA)to drought conditions and a major flood event","Mary","","yes",6,"assesses drought and flood effects on phytoplankton community dynamics in six reservoirs of the middle Missouri River","drought; flooding",NA,"USA","Lake Oahe","44.5","not reported",8,"","May; June; July; August; October","61.9","19.2","","28500000000","1263","not reported","not reported","","mesotrophic",NA,NA,"","5","One depth","NR","water temperature; Secchi depth; turbidity; water residence time","NH4; NO3; NO2; SRP","chlorophyll-a; phytoplankton microscopy; zooplankton","ground-based measurements","",NA,"used biovolume; PCA; CCA","increased biovolume during drought recovery but decreased biovolume during flooding; increased biovolume during drought recovery was colonial taxa; primarily diatoms Aulacoseira and Fragilariaceae","mixed response","not reported",NA,"",NA,NA,NA,NA,"water temperature; Secchi; turbidity; WRT",NA
"40",284,"Beaver 2017","Response of phytoplankton and zooplankton communitiesin six reservoirs of the middle Missouri River (USA)to drought conditions and a major flood event","Mary","","yes",6,"assesses drought and flood effects on phytoplankton community dynamics in six reservoirs of the middle Missouri River","drought; flooding",NA,"USA","Lake Sharpe","44","not reported",8,"","May; June; July; August; October","22.9","9.4","","2300000000","231","not reported","not reported","","mesotrophic",NA,NA,"","4","One depth","NR","water temperature; Secchi depth; turbidity; water residence time","NH4; NO3; NO2; SRP","chlorophyll-a; phytoplankton microscopy; zooplankton","ground-based measurements","",NA,"used biovolume; PCA; CCA","increased biovolume during drought recovery but decreased biovolume during flooding; increased biovolume during drought recovery was colonial taxa; primarily diatoms Aulacoseira and Fragilariaceae","mixed response","not reported",NA,"",NA,NA,NA,NA,"water temperature; Secchi; turbidity; WRT",NA
"41",284,"Beaver 2018","Response of phytoplankton and zooplankton communitiesin six reservoirs of the middle Missouri River (USA)to drought conditions and a major flood event","Mary","","yes",6,"assesses drought and flood effects on phytoplankton community dynamics in six reservoirs of the middle Missouri River","drought; flooding",NA,"USA","Lake Francis Case","43.1","not reported",8,"","May; June; July; August; October","41.5","15.2","","6800000000","320","not reported","not reported","","meso-eutrophic",NA,NA,"","4","One depth","NR","water temperature; Secchi depth; turbidity; water residence time","NH4; NO3; NO2; SRP","chlorophyll-a; phytoplankton microscopy; zooplankton","ground-based measurements","",NA,"used biovolume; PCA; CCA","increased biovolume during drought recovery but decreased biovolume during flooding; increased biovolume during drought recovery was colonial taxa; primarily diatoms Aulacoseira and Fragilariaceae","mixed response","not reported",NA,"",NA,NA,NA,NA,"water temperature; Secchi; turbidity; WRT",NA
"42",284,"Beaver 2019","Response of phytoplankton and zooplankton communitiesin six reservoirs of the middle Missouri River (USA)to drought conditions and a major flood event","Mary","","yes",6,"assesses drought and flood effects on phytoplankton community dynamics in six reservoirs of the middle Missouri River","drought; flooding",NA,"USA","Lewis and Clark Lake","42.9","not reported",8,"","May; June; July; August; October","17.1","4.9","","610000000","101","not reported","not reported","","eutrophic",NA,NA,"","4","One depth","NR","water temperature; Secchi depth; turbidity; water residence time","NH4; NO3; NO2; SRP","chlorophyll-a; phytoplankton microscopy; zooplankton","ground-based measurements","",NA,"used biovolume; PCA; CCA","increased biovolume during drought recovery but decreased biovolume during flooding; increased biovolume during drought recovery was colonial taxa; primarily diatoms Aulacoseira and Fragilariaceae","mixed response","not reported",NA,"",NA,NA,NA,NA,"water temperature; Secchi; turbidity; WRT",NA
"43",214,"Carvalho 2022","Uncovering the influence of hydrological and climate variables in chlorophyll‑A concentration in tropical reservoirs with machine learning","Mary","counterintuitive findings: chl-a increases as volume decreases (makes sense) but decreases as water level decreases (opposite of expectation); depth is a range of 90-192 across all three; surface area is a range of 116-410 across all three","Yes",3,"explore effects of hydrological and climate variables on chl-a in large drinking water supply reservoirs in a semi-arid region","drought; water level fluctuation",NA,"Brazil","Banabuiù","not reported","not reported",18,"monthly","All months","","","","1600000000",NA,"not reported","not reported","","not reported",NA,NA,"",NA,"One depth","NR","water temperature; light","","chlorophyll-a","ground-based measurements","decrease in chl-a","decrease","not reported","increase in chl-a","increase","not reported",NA,"",NA,NA,NA,NA,"water volume and water level",NA
"44",214,"Carvalho 2022","Uncovering the influence of hydrological and climate variables in chlorophyll‑A concentration in tropical reservoirs with machine learning","Mary","counterintuitive findings: chl-a increases as volume decreases (makes sense) but decreases as water level decreases (opposite of expectation); depth is a range of 90-192 across all three; surface area is a range of 116-410 across all three","Yes",3,"explore effects of hydrological and climate variables on chl-a in large drinking water supply reservoirs in a semi-arid region","drought; water level fluctuation",NA,"Brazil","Castanhão","not reported","not reported",18,"monthly","All months","","","","6700000000",NA,"not reported","not reported","","not reported",NA,NA,"",NA,"One depth","NR","water temperature; light","","chlorophyll-a","ground-based measurements","decrease in chl-a","decrease","not reported","increase in chl-a","increase","not reported",NA,"",NA,NA,NA,NA,"water volume and water level",NA
"45",214,"Carvalho 2022","Uncovering the influence of hydrological and climate variables in chlorophyll‑A concentration in tropical reservoirs with machine learning","Mary","counterintuitive findings: chl-a increases as volume decreases (makes sense) but decreases as water level decreases (opposite of expectation); depth is a range of 90-192 across all three; surface area is a range of 116-410 across all three","Yes",3,"explore effects of hydrological and climate variables on chl-a in large drinking water supply reservoirs in a semi-arid region","drought; water level fluctuation",NA,"Brazil","Orós","not reported","not reported",18,"monthly","All months","","","","2100000000",NA,"not reported","not reported","","not reported",NA,NA,"",NA,"One depth","NR","water temperature; light","","chlorophyll-a","ground-based measurements","decrease in chl-a","decrease","not reported","increase in chl-a","increase","not reported",NA,"",NA,NA,NA,NA,"water volume and water level",NA
"46",50,"Havens 2019","Dynamics of cyanobacteria blooms are linkedto the hydrology of shallow Florida lakes and provide insightinto possible impacts of climate change","Mary","study includes four other lakes which are too shallow (mean depth < 3m)","Yes",3,"assessing hydrologic factors controlling dynamics of cyanobacteria in shallow lakes in Florida","drought; water level fluctuation",NA,"USA","Eustis","28.848439","-81.724573",18,"monthly","All months","","3.1","","","32","not reported","not reported","","eutrophic",38,"38","35","1-3","Integrated sample","NR","water temperature; Secchi depth","TP; TN; DIN; SRP; color","chlorophyll-a; phytoplankton microscopy","ground-based measurements","not reported",NA,"not reported",NA,"",NA,"increase in cyanobacteria biovolume","increase","regression slope of -20.415 10^6 um3 ml-1","not reported",NA,"not reported","water level",NA
"47",50,"Havens 2019","Dynamics of cyanobacteria blooms are linkedto the hydrology of shallow Florida lakes and provide insightinto possible impacts of climate change","Mary","study includes four other lakes which are too shallow (mean depth < 3m)","Yes",3,"assessing hydrologic factors controlling dynamics of cyanobacteria in shallow lakes in Florida","drought; water level fluctuation",NA,"USA","Harris","28.779726","-81.810262",18,"monthly","All months","","3.4","","","75","not reported","not reported","","eutrophic",38,"38","37","1-3","Integrated sample","NR","water temperature; Secchi depth","TP; TN; DIN; SRP; color","chlorophyll-a; phytoplankton microscopy","ground-based measurements","not reported",NA,"not reported",NA,"",NA,"increase in cyanobacteria biovolume","increase","regression slope of -20.415 10^6 um3 ml-2","not reported",NA,"not reported","water level",NA
"48",50,"Havens 2019","Dynamics of cyanobacteria blooms are linkedto the hydrology of shallow Florida lakes and provide insightinto possible impacts of climate change","Mary","study includes four other lakes which are too shallow (mean depth < 3m)","Yes",3,"assessing hydrologic factors controlling dynamics of cyanobacteria in shallow lakes in Florida","drought; water level fluctuation",NA,"USA","Yale","28.912693","-81.737562",18,"monthly","All months","","5.1","","","16","not reported","not reported","","eutrophic",32,"32","33","1-3","Integrated sample","NR","water temperature; Secchi depth","TP; TN; DIN; SRP; color","chlorophyll-a; phytoplankton microscopy","ground-based measurements","not reported",NA,"not reported",NA,"",NA,"increase in cyanobacteria biovolume","increase","regression slope of -20.415 10^6 um3 ml-3","not reported",NA,"not reported","water level",NA
